ClassID,Subject,CatalogNumber,Section,InstructorNetID
88222-1158,AAS,102,1,instr
91293-1158,AAS,280,1,instr
88660-1158,AAS,371,1,instr
88258-1158,AAS,475,T07,instr
88256-1158,AAS,476,T17,instr
88275-1158,AAS,488,T07,instr
92825-1158,ACC,310,1,instr
93363-1158,ACH,101,1,instr
93374-1158,ACH,101,12,instr
93649-1158,ACH,101,22,instr
93283-1158,ADV,101,7,instr
93293-1158,ADV,101,18,instr
93606-1158,ADV,101,33,instr
83769-1158,AFS,101,1,instr
88410-1158,AFS,487,T06,instr
97328-1158,AIM,102,8,instr
80384-1158,AMS,110,2,instr
80379-1158,AMS,261,1,instr
80371-1158,AMS,311,1,instr
80368-1158,AMS,361,1,instr
96921-1158,AMS,487,T11,instr
97341-1158,AMS,510,2,instr
82182-1158,AMS,531,L01,instr
80359-1158,AMS,572,1,instr
80718-1158,AMS,599,T05,instr
80732-1158,AMS,599,T15,instr
82457-1158,AMS,599,T30,instr
80352-1158,AMS,699,T05,instr
80341-1158,AMS,699,T19,instr
96076-1158,AMS,700,T26,instr
83783-1158,ANP,300,1,instr
83799-1158,ANP,300,L10,instr
88559-1158,ANP,350,1,instr
87197-1158,ANP,495,T07,instr
96374-1158,ANT,417,1,instr
91555-1158,ARH,204,2,instr
94056-1158,ARH,308,1,instr
94366-1158,ARH,545,S60,instr
97006-1158,ARH,598,T14,instr
87375-1158,ARH,700,T21,instr
91037-1158,ARS,225,1,instr
83927-1158,ARS,256,L01,instr
91144-1158,ARS,327,L01,instr
83933-1158,ARS,375,L01,instr
91690-1158,ARS,475,T11,instr
91640-1158,ARS,495,T15,instr
84664-1158,ARS,532,T24,instr
91320-1158,AST,205,1,instr
96698-1158,ATM,103,1,instr
92754-1158,ATM,487,T40,instr
83951-1158,BCP,403,L02,instr
84082-1158,BEE,500,T01,instr
82545-1158,BEE,574,L02,instr
84076-1158,BEE,599,T08,instr
87289-1158,BEE,699,T03,instr
83817-1158,BEE,699,T35,instr
84395-1158,BGE,599,T05,instr
88157-1158,BGE,699,T04,instr
87404-1158,BGE,700,T01,instr
